iter	Passed	Remaining
844	1981	363
845	1983	361
846	1985	358
847	1987	356
848	1989	353
849	1991	351
850	1992	348
851	1994	346
852	1997	344
853	1999	341
854	2001	339
855	2003	337
856	2005	334
857	2008	332
858	2010	330
859	2012	327
860	2014	325
861	2018	323
862	2020	320
863	2022	318
864	2024	315
865	2026	313
866	2028	311
867	2030	308
868	2032	306
869	2034	304
870	2036	301
871	2038	299
872	2041	297
873	2043	294
874	2045	292
875	2048	289
876	2050	287
877	2052	285
878	2054	282
879	2056	280
880	2058	278
881	2060	275
882	2063	273
883	2065	271
884	2067	268
885	2069	266
886	2071	263
887	2073	261
888	2075	259
889	2077	256
890	2079	254
891	2081	252
892	2083	249
893	2086	247
894	2088	244
895	2090	242
896	2093	240
897	2095	237
898	2097	235
899	2099	233
900	2101	230
901	2103	228
902	2106	226
903	2109	223
904	2111	221
905	2113	219
906	2115	216
907	2117	214
908	2119	212
909	2121	209
910	2123	207
911	2125	205
912	2127	202
913	2131	200
914	2133	198
915	2135	195
916	2137	193
917	2139	191
918	2141	188
919	2143	186
920	2145	184
921	2147	181
922	2149	179
923	2153	177
924	2155	174
925	2157	172
926	2159	170
927	2161	167
928	2163	165
929	2165	163
930	2167	160
931	2169	158
932	2171	155
933	2175	153
934	2177	151
935	2179	149
936	2181	146
937	2183	144
938	2186	142
939	2188	139
940	2190	137
941	2192	134
942	2194	132
943	2197	130
944	2200	128
945	2203	125
946	2206	123
947	2209	121
948	2212	118
949	2214	116
950	2216	114
951	2218	111
952	2222	109
953	2224	107
954	2226	104
955	2228	102
956	2230	100
957	2232	97
958	2234	95
959	2237	93
960	2239	90
961	2241	88
962	2244	86
963	2246	83
964	2248	81
965	2250	79
966	2252	76
967	2254	74
968	2256	72
969	2258	69
970	2260	67
971	2262	65
972	2266	62
973	2268	60
974	2270	58
975	2272	55
976	2274	53
977	2276	51
978	2278	48
979	2280	46
980	2282	44
981	2285	41
982	2287	39
983	2290	37
984	2292	34
985	2295	32
986	2297	30
987	2299	27
988	2302	25
989	2304	23
990	2305	20
991	2308	18
992	2310	16
993	2312	13
994	2314	11
995	2316	9
996	2318	6
997	2320	4
998	2322	2
999	2324	0
